instruction,type,frequencyin1,instruction,8972
0,literal,2662
[],literal,2555
integer_add,instruction,1294
print_integer,instruction,1048
integer_stackdepth,instruction,1018
integer_min,instruction,973
print_string,instruction,885
exec_string_iterate,instruction,871
print_char,instruction,713
string_length,instruction,703
vector_integer_reverse,instruction,638
exec_do*vector_integer,instruction,630
float_frominteger,instruction,616
float_add,instruction,605
integer_dup,instruction,596
boolean_stackdepth,instruction,565
exec_do*count,instruction,549
integer_mod,instruction,519
\space,literal,510
exec_stackdepth,instruction,501
exec_y,instruction,476
exec_dup,instruction,469
vector_integer_eq,instruction,467
integer_mult,instruction,463
print_newline,instruction,456
exec_dup_times,instruction,442
char_dup,instruction,410
\newline,literal,400
print_float,instruction,392
integer_fromchar,instruction,386
string_dup,instruction,385
integer_inc,instruction,377
exec_do*while,instruction,377
integer_dec,instruction,343
string_stackdepth,instruction,334
char_stackdepth,instruction,333
exec_if,instruction,331
integer_max,instruction,301
integer_empty,instruction,284
exec_when,instruction,255
exec_s,instruction,251
boolean_empty,instruction,246
integer_lt,instruction,244
string_replacechar,instruction,236
string_shove,instruction,234
vector_integer_pushall,instruction,233
vector_integer_nth,instruction,228
boolean_frominteger,instruction,227
exec_do*times,instruction,224
exec_do*range,instruction,221
integer_sub,instruction,218
char_empty,instruction,217
float_div,instruction,216
exec_while,instruction,213
string_parse_to_chars,instruction,212
exec_swap,instruction,211
string_containschar,instruction,210
string_frominteger,instruction,202
char_allfromstring,instruction,196
[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0 0 0 1 3 3 2 1 4 2 4 1 8 5 1 3 1 1 3 10 1 1 1 1 4 4 8 4 10 0 0 0 0],literal,196
string_split,instruction,196
exec_empty,instruction,194
string_occurrencesofchar,instruction,194
string_fromchar,instruction,192
integer_div,instruction,192
exec_eq,instruction,184
string_dup_times,instruction,183
integer_dup_times,instruction,182
string_reverse,instruction,179
string_concat,instruction,177
integer_lte,instruction,173
string_removechar,instruction,170
char_isletter,instruction,169
\!,literal,167
string_replacefirstchar,instruction,163
string_yankdup,instruction,160
boolean_dup_times,instruction,158
exec_do*vector_string,instruction,158
boolean_not,instruction,155
"The number of syllables is ",literal,155
float_stackdepth,instruction,152
"aeiouy",literal,149
boolean_and,instruction,146
integer_gte,instruction,145
char_frominteger,instruction,144
2,literal,143
exec_do*vector_float,instruction,143
char_iswhitespace,instruction,142
string_emptystring,instruction,139
64,literal,135
string_conjchar,instruction,134
char_dup_times,instruction,134
exec_yank,instruction,132
char_dup_items,instruction,130
vector_integer_set,instruction,130
vector_string_reverse,instruction,129
exec_flush,instruction,129
integer_gt,instruction,125
string_contains,instruction,125
integer_swap,instruction,122
exec_rot,instruction,121
exec_yankdup,instruction,120
boolean_or,instruction,119
integer_fromboolean,instruction,118
integer_shove,instruction,117
string_butlast,instruction,116
string_empty,instruction,114
exec_shove,instruction,113
integer_yank,instruction,113
integer_dup_items,instruction,111
"Check sum is ",literal,103
string_yank,instruction,100
string_first,instruction,99
boolean_dup_items,instruction,99
integer_pop,instruction,94
char_eq,instruction,93
string_fromboolean,instruction,92
boolean_flush,instruction,88
integer_rot,instruction,88
integer_yankdup,instruction,87
vector_integer_stackdepth,instruction,87
char_rot,instruction,85
string_eq,instruction,85
exec_dup_items,instruction,82
string_rest,instruction,82
vector_float_length,instruction,81
string_take,instruction,80
"C",literal,80
"F",literal,80
"B",literal,80
" grade.",literal,80
"A",literal,80
"D",literal,80
"Student has a ",literal,80
string_pop,instruction,77
vector_float_pushall,instruction,76
exec_pop,instruction,72
"small",literal,71
integer_flush,instruction,71
string_substring,instruction,65
string_indexofchar,instruction,65
"large",literal,65
char_yankdup,instruction,61
boolean_invert_first_then_and,instruction,60
vector_integer_conj,instruction,59
string_last,instruction,57
boolean_dup,instruction,54
vector_integer_rest,instruction,53
vector_integer_length,instruction,53
string_dup_items,instruction,53
char_isdigit,instruction,51
char_swap,instruction,51
boolean_yankdup,instruction,50
boolean_eq,instruction,49
vector_integer_dup,instruction,47
boolean_invert_second_then_and,instruction,47
exec_y_when_autoconstructing,instruction,45
boolean_swap,instruction,44
string_replacefirst,instruction,44
integer_eq,instruction,42
vector_integer_swap,instruction,41
string_flush,instruction,40
1,literal,39
string_swap,instruction,39
string_rot,instruction,39
\e,literal,38
boolean_xor,instruction,37
\y,literal,37
vector_integer_empty,instruction,36
vector_integer_indexof,instruction,35
\tab,literal,34
char_shove,instruction,34
-477,literal,34
\a,literal,33
boolean_yank,instruction,33
\&,literal,33
boolean_shove,instruction,33
\J,literal,33
\-,literal,33
\M,literal,33
\Z,literal,33
vector_integer_dup_times,instruction,32
boolean_rot,instruction,31
string_replace,instruction,31
exec_noop,instruction,30
boolean_pop,instruction,29
exec_s_when_autoconstructing,instruction,29
integer_fromstring,instruction,29
vector_integer_concat,instruction,29
vector_float_stackdepth,instruction,29
char_pop,instruction,28
\o,literal,27
tagged_879,instruction,26
tagged_968,instruction,26
tag_integer_696,instruction,26
tagged_358,instruction,26
tagged_694,instruction,26
tagged_437,instruction,26
tag_integer_847,instruction,26
tagged_148,instruction,26
tag_integer_663,instruction,26
vector_integer_dup_items,instruction,26
tag_integer_129,instruction,26
tagged_869,instruction,26
exec_k_when_autoconstructing,instruction,24
vector_integer_yankdup,instruction,22
char_yank,instruction,22
char_flush,instruction,21
\u,literal,20
float_swap,instruction,20
vector_string_pushall,instruction,20
float_dup,instruction,19
vector_float_dup,instruction,19
vector_string_empty,instruction,18
print_boolean,instruction,17
vector_integer_shove,instruction,16
\i,literal,16
vector_integer_occurrencesof,instruction,16
vector_integer_rot,instruction,15
vector_integer_butlast,instruction,14
string_nth,instruction,14
vector_integer_last,instruction,14
false,literal,14
5,literal,14
vector_string_stackdepth,instruction,13
float_yank,instruction,11
tag_exec_39,instruction,10
vector_string_dup,instruction,10
tagged_883,instruction,10
vector_float_dup_items,instruction,10
vector_string_occurrencesof,instruction,9
float_yankdup,instruction,9
vector_integer_flush,instruction,9
float_dup_items,instruction,9
vector_string_first,instruction,9
vector_float_swap,instruction,9
tag_integer_375,instruction,8
vector_float_replace,instruction,8
vector_string_subvec,instruction,8
vector_string_butlast,instruction,8
-926,literal,8
vector_string_last,instruction,8
float_sub,instruction,8
float_min,instruction,8
vector_string_set,instruction,8
float_inc,instruction,8
961,literal,7
478,literal,7
exec_k,instruction,7
tagged_223,instruction,7
-851,literal,7
vector_string_dup_items,instruction,7
vector_string_length,instruction,7
\`,literal,6
print_vector_string,instruction,6
vector_float_butlast,instruction,6
vector_string_yank,instruction,6
vector_integer_remove,instruction,6
string_setchar,instruction,6
float_shove,instruction,6
float_pop,instruction,6
vector_float_yank,instruction,6
print_exec,instruction,6
10,literal,6
\@,literal,5
vector_string_replacefirst,instruction,5
vector_string_eq,instruction,5
-76,literal,5
vector_float_reverse,instruction,5
\*,literal,5
vector_string_remove,instruction,5
tagged_611,instruction,5
true,literal,5
tagged_771,instruction,5
tagged_230,instruction,5
-96,literal,5
tag_integer_647,instruction,5
float_mult,instruction,5
tag_char_682,instruction,5
float_dup_times,instruction,5
tag_char_603,instruction,5
tagged_422,instruction,5
tag_boolean_10,instruction,4
vector_string_dup_times,instruction,4
vector_float_indexof,instruction,4
vector_float_rest,instruction,4
vector_float_subvec,instruction,4
vector_string_rest,instruction,4
vector_string_take,instruction,4
tag_char_205,instruction,4
vector_float_replacefirst,instruction,4
3,literal,4
vector_string_conj,instruction,4
vector_string_emptyvector,instruction,4
vector_integer_first,instruction,4
float_flush,instruction,4
42,literal,4
-2018,literal,3
vector_float_yankdup,instruction,3
vector_float_last,instruction,3
-2010,literal,3
-55,literal,3
58,literal,3
-1991,literal,3
tagged_583,instruction,3
1981,literal,3
vector_string_flush,instruction,3
tagged_434,instruction,3
5985,literal,3
vector_integer_replace,instruction,3
vector_float_remove,instruction,3
tagged_693,instruction,3
tag_boolean_565,instruction,3
vector_string_yankdup,instruction,3
-2020,literal,3
40,literal,3
tagged_939,instruction,3
9899,literal,3
-1974,literal,3
tag_exec_887,instruction,3
vector_integer_replacefirst,instruction,3
tagged_352,instruction,3
tagged_898,instruction,3
5996,literal,3
tag_exec_204,instruction,3
5142,literal,3
43,literal,3
vector_string_pop,instruction,3
-3970,literal,3
tagged_16,instruction,3
1162,literal,3
tagged_213,instruction,3
76,literal,3
tag_char_115,instruction,3
19,literal,3
200,literal,3
-8669,literal,3
26,literal,3
"x*edu-aq60_i",literal,3
vector_float_flush,instruction,3
3489,literal,3
-4029,literal,3
-1564,literal,3
tag_exec_695,instruction,3
960,literal,3
49,literal,3
tag_string_166,instruction,2
-12,literal,2
tagged_804,instruction,2
\c,literal,2
tag_vector_string_408,instruction,2
\d,literal,2
" + ;i{R0\\+p ",literal,2
tag_exec_343,instruction,2
tag_integer_632,instruction,2
"$,ue3xeh3j|8e^6gf8",literal,2
77,literal,2
95,literal,2
92,literal,2
tag_string_195,instruction,2
float_mod,instruction,2
\),literal,2
-92,literal,2
21,literal,2
tag_exec_324,instruction,2
tagged_141,instruction,2
tagged_834,instruction,2
"YebHh2O 2)K  ]*_  ",literal,2
\L,literal,2
vector_float_pop,instruction,2
"s!\"=ou.?u! z42`1]7o",literal,2
tag_char_776,instruction,2
float_max,instruction,2
tag_string_474,instruction,2
-23,literal,2
tagged_188,instruction,2
vector_float_conj,instruction,2
tagged_401,instruction,2
-198,literal,2
vector_string_swap,instruction,2
tag_exec_615,instruction,2
".f^oo6|yo0*yw`",literal,2
tag_float_213,instruction,2
\q,literal,2
-31,literal,2
tagged_668,instruction,2
tag_exec_473,instruction,2
tagged_557,instruction,2
tagged_24,instruction,2
vector_float_nth,instruction,2
tag_char_857,instruction,2
vector_string_indexof,instruction,2
47,literal,2
float_dec,instruction,2
"X  +~+)",literal,2
vector_float_rot,instruction,2
vector_string_replace,instruction,2
tagged_220,instruction,2
tagged_381,instruction,2
vector_string_nth,instruction,2
tagged_369,instruction,2
tag_float_628,instruction,2
-3991,literal,2
tagged_197,instruction,2
tag_float_120,instruction,2
vector_float_concat,instruction,2
float_rot,instruction,2
vector_string_contains,instruction,2
\},literal,2
" #ce~hk&o$\\mie 2eg",literal,2
tag_exec_45,instruction,2
71,literal,2
vector_float_take,instruction,2
tagged_175,instruction,2
tagged_946,instruction,2
tag_exec_998,instruction,2
tagged_545,instruction,1
" X ",literal,1
tagged_243,instruction,1
tagged_856,instruction,1
tagged_598,instruction,1
100,literal,1
tagged_791,instruction,1
-26,literal,1
tag_string_680,instruction,1
"  DbMka'vA  eO fm",literal,1
tag_char_95,instruction,1
tag_exec_258,instruction,1
tagged_433,instruction,1
tag_string_622,instruction,1
63,literal,1
